Num1,Num2,Num3,Num4,Num5,
2.00,1300713.00,0.90,26.00,2.00,
3.00,1257090.00,0.20,61.00,1.00,
2.00,2526901.00,1.00,44.00,2.00,
3.00,3299609.00,0.50,67.00,1.00,
2.00,2554573.00,0.40,75.00,1.00,
2.00,1869347.00,0.30,30.00,2.00,
3.00,2532121.00,0.40,20.00,1.00,
3.00,3747583.00,0.20,45.00,3.00,
1.00,1503231.00,0.20,87.00,1.00,
3.00,2359822.00,0.40,94.00,3.00,
2.00,2068549.00,1.00,68.00,2.00,
3.00,3369895.00,0.60,32.00,1.00,
3.00,1590063.00,0.60,78.00,3.00,
3.00,3773226.00,0.30,83.00,1.00,
3.00,3643535.00,0.70,60.00,3.00,
1.00,2929438.00,1.00,31.00,3.00,
3.00,3221142.00,0.10,95.00,2.00,
3.00,1134674.00,0.80,86.00,3.00,
2.00,3441347.00,0.30,12.00,1.00,
3.00,1545999.00,0.70,10.00,2.00,
1.00,3638868.00,0.80,96.00,3.00,
1.00,3279530.00,0.90,33.00,1.00,
2.00,1955056.00,0.90,98.00,1.00,
1.00,3175870.00,0.30,29.00,3.00,
1.00,3591571.00,0.30,73.00,1.00,
3.00,3915501.00,0.30,100.00,2.00,
2.00,2142588.00,0.50,54.00,3.00,
3.00,1398194.00,0.70,30.00,3.00,
2.00,2421410.00,0.50,93.00,3.00,
1.00,3507981.00,0.30,59.00,1.00,
3.00,2415604.00,0.30,34.00,2.00,
1.00,1899486.00,0.80,86.00,2.00,
1.00,3381786.00,0.40,67.00,1.00,
2.00,3864837.00,0.40,17.00,2.00,
3.00,1337904.00,0.50,97.00,1.00,
3.00,3467932.00,1.00,74.00,2.00,
3.00,2501196.00,0.90,81.00,1.00,
3.00,2007463.00,1.00,90.00,1.00,
1.00,1368498.00,0.90,91.00,1.00,
1.00,2127391.00,1.00,85.00,2.00,
2.00,3320849.00,0.30,48.00,2.00,
3.00,3052675.00,0.60,68.00,2.00,
1.00,2137342.00,0.70,99.00,1.00,
3.00,3246216.00,0.50,71.00,1.00,
3.00,1256385.00,0.80,60.00,2.00,
3.00,2886901.00,0.20,90.00,2.00,
3.00,1406649.00,0.60,31.00,3.00,
1.00,3397590.00,0.70,54.00,1.00,
1.00,3130398.00,0.40,95.00,2.00,
1.00,1159381.00,0.60,65.00,1.00,
3.00,1111820.00,0.30,95.00,1.00,
1.00,2541134.00,0.60,82.00,3.00,
1.00,1845782.00,0.50,32.00,1.00,
1.00,1753480.00,0.20,83.00,2.00,
2.00,2423250.00,0.30,50.00,1.00,
3.00,3829400.00,0.90,43.00,2.00,
2.00,3485808.00,0.40,45.00,3.00,
2.00,1485662.00,0.40,71.00,3.00,
3.00,3787788.00,0.90,22.00,3.00,
3.00,2706726.00,0.40,30.00,2.00,
3.00,2438717.00,0.40,80.00,1.00,
3.00,3026924.00,1.00,93.00,1.00,
3.00,3219667.00,0.10,24.00,2.00,
1.00,2102289.00,0.90,73.00,2.00,
